# role	diode                  irradiation	Temperature	TCTdate		reference	baseline	IVdate	     CVdate
#basP2330 FZ120P_04_DiodeS_16	-	     	-30		23/09/2014-12:16	-		-		        -      -
#------------------------------ connected IR-laser front
#refP2330 FZ120P_04_DiodeS_16	-	     	-30		23/09/2014-13:07	-		bas2330		        -      -
#refP2320 FZ120P_04_DiodeS_16	-	     	-20		23/09/2014-13:35	-		bas2320		        -      -
#------------------------------ disconnected IR-laser front
basP2420 FZ120P_01_DiodeL_8	-		-20		28/09/2014-13:06	-		-			-      -
basP2430 FZ120P_01_DiodeL_8	-		-30		28/09/2014-13:38	-		-			-      -
#------------------------------ connected IR-laser front
refP1930 FZ120P_01_DiodeL_8	-		-30		28/09/2014-14:20	-		basP2430		-      - # pochi punti?
refP1920 FZ120P_01_DiodeL_8	-		-20		28/09/2014-15:04	-		basP2420		-      -
refP1930 FZ120P_01_DiodeL_8	-		-30		28/09/2014-16:13	-		basP2430		-      -
#refP2530 FZ120P_01_DiodeL_9	-		-30		28/09/2014-17:37	-		basP2430		-      - # da controllare
#--
#------------------------------ disconnected IR-laser front
basP2630 FZ120P_04_DiodeS_16	-	        -30		29/09/2014-13:52	-		-		         -     -
#--
refP2630 FZ120P_04_DiodeS_16	-	        -30		29/09/2014-14:24	-		basP2630		 -     -
#--
irrP2630 FZ120P_02_DiodeS_13	1.60e16		-30		29/09/2014-15:22	refP2630	basP2630	        2014-09-29_5 -
irrP2620 FZ120P_02_DiodeS_13	1.60e16		-20		-			-		-			2014-09-29_4 2014-09-29_4 #no guard ring
#--
irrP2730 FZ120P_01_DiodeS_13	1.00e16		-30		29/09/2014-16:36	refP2630	basP2630	        -      -
